logstore	projectname	SQL
happigo-application	Ec.Order.Push.Homa.Task1	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task1');"
happigo-application	Ec.Order.Push.Homa.Task10	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task10');"
happigo-application	Ec.Order.Push.Homa.Task2	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task2');"
happigo-application	Ec.Order.Push.Homa.Task3	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task3');"
happigo-application	Ec.Order.Push.Homa.Task4	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task4');"
happigo-application	Ec.Order.Push.Homa.Task5	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task5');"
happigo-application	Ec.Order.Push.Homa.Task6	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task6');"
happigo-application	Ec.Order.Push.Homa.Task7	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task7');"
happigo-application	Ec.Order.Push.Homa.Task8	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task8');"
happigo-application	Ec.Order.Push.Homa.Task9	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task9');"
happigo-application	Ec.Order.Push.Jd.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Jd.Task');"
happigo-application	Ec.Order.Push.Wy.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Wy.Task');"
happigo-application	Ec.OrderShare.GiveGifts.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.GiveGifts.Api');"
happigo-application	Ec.OrderShare.ParticipateGifts.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.ParticipateGifts.Api');"
happigo-application	Ec.OrderShare.ParticipateSetting.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.ParticipateSetting.Api');"
happigo-application	Ec.OrderShare.Setting.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.Setting.Api');"
happigo-application	Ec.Points.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Points.Api');"
happigo-application	Ec.Presale.OrderSave.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Presale.OrderSave.Api');"
happigo-application	Ec.Price.Sync.Jd.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Price.Sync.Jd.Task');"
happigo-application	Ec.Refund.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Refund.Task');"
happigo-application	Ec.Stock.Sync.Live.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Stock.Sync.Live.Task');"
happigo-application	Ec.Stock.Sync.Normal.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Stock.Sync.Normal.Task');"
happigo-application	Ec.ToErp.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.ToErp.Api');"
happigo-application	Ec.Voucher.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Api');"
happigo-application	Ec.Voucher.Exchange.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Exchange.Api');"
happigo-application	Ec.Voucher.Preaward.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Preaward.Api');"
happigo-application	Ec.Voucher.Redeem.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Redeem.Api');"
happigo-application	Ec.order.Cancel.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.order.Cancel.Task');"
